Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  12111   85.4%          /home/develop/.nvm/versions/node/v16.6.0/bin/node
    216    1.5%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
     11    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      6    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    107    0.8%    5.8%  LazyCompile: *resolve node:path:1091:10
     71    0.5%    3.9%  LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     61    0.4%    3.3%  LazyCompile: *wrap /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     50    0.4%    2.7%  LazyCompile: *SourceNode_walk /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:221:53
     38    0.3%    2.1%  LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     32    0.2%    1.7%  LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
     27    0.2%    1.5%  LazyCompile: *compile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     22    0.2%    1.2%  LazyCompile: *castChunk /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
     17    0.1%    0.9%  LazyCompile: *generateList /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
     15    0.1%    0.8%  LazyCompile: *normalizeString node:path:66:25
     14    0.1%    0.8%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:174:29
     13    0.1%    0.7%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     13    0.1%    0.7%  LazyCompile: *anonymous /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     10    0.1%    0.5%  LazyCompile: *join node:path:1166:7
      9    0.1%    0.5%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      9    0.1%    0.5%  LazyCompile: *invokeAmbiguous /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      8    0.1%    0.4%  LazyCompile: *relative node:path:1190:11
      8    0.1%    0.4%  LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      7    0.0%    0.4%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      7    0.0%    0.4%  LazyCompile: *update node:internal/crypto/hash:95:40
      7    0.0%    0.4%  LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      7    0.0%    0.4%  LazyCompile: *anonymous /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      7    0.0%    0.4%  LazyCompile: *SourceNode_add /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:172:51
      6    0.0%    0.3%  LazyCompile: *setupParams /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      6    0.0%    0.3%  LazyCompile: *accept /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      5    0.0%    0.3%  LazyCompile: *renderView /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      5    0.0%    0.3%  LazyCompile: *realpathSync node:fs:2398:22
      5    0.0%    0.3%  LazyCompile: *readFile node:fs:370:18
      5    0.0%    0.3%  LazyCompile: *opcode /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      5    0.0%    0.3%  LazyCompile: *hasHooks node:internal/async_hooks:458:18
      5    0.0%    0.3%  LazyCompile: *getTemplate /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:108:20
      5    0.0%    0.3%  LazyCompile: *extname node:path:1385:10
      5    0.0%    0.3%  LazyCompile: *extend /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
