Statistical profiling result from infoProf.log, (12031 ticks, 35 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  10081   83.8%          /home/develop/.nvm/versions/node/v16.6.0/bin/node
    187    1.6%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      9    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      2    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     68    0.6%    3.9%  LazyCompile: *resolve node:path:1091:10
     65    0.5%    3.7%  LazyCompile: *wrap /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     63    0.5%    3.6%  LazyCompile: *parse /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     46    0.4%    2.6%  LazyCompile: *SourceNode_walk /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:221:53
     32    0.3%    1.8%  LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     23    0.2%    1.3%  LazyCompile: *next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/index.js:176:16
     20    0.2%    1.1%  LazyCompile: *anonymous /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     19    0.2%    1.1%  LazyCompile: *compile /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     18    0.1%    1.0%  LazyCompile: *normalizeString node:path:66:25
     16    0.1%    0.9%  LazyCompile: *generateList /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
     12    0.1%    0.7%  LazyCompile: *SourceNode_add /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:172:51
     11    0.1%    0.6%  LazyCompile: *join node:path:1166:7
      9    0.1%    0.5%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      8    0.1%    0.5%  LazyCompile: *extend /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      8    0.1%    0.5%  LazyCompile: *castChunk /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      8    0.1%    0.5%  LazyCompile: *anonymous /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      8    0.1%    0.5%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      8    0.1%    0.5%  LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      7    0.1%    0.4%  LazyCompile: *render /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      7    0.1%    0.4%  LazyCompile: *preparePath /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      7    0.1%    0.4%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/source-map/lib/source-node.js:174:29
      6    0.0%    0.3%  LazyCompile: *readFile node:fs:370:18
      6    0.0%    0.3%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      6    0.0%    0.3%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-handlebars/lib/express-handlebars.js:123:11
